Age;Vitamin A (μg/d);Vitamin C (mg/d);Vitamin D (μg/d);Vitamin E (mg/d);Vitamin K (μg/d);Thiamin (mg/d);Riboflavin (mg/d);Niacin (mg/d);Vitamin B6 (mg/d);Folate (μg/d);Vitamin B12 (μg/d);Pantothenic Acid (mg/d);Calcium (mg/d);Copper (μg/d);Iodine (μg/d);Iron (mg/d);Magnesium (mg/d);Manganese (mg/d);Phosphorus (mg/d);Selenium (μg/d);Zinc (mg/d);Potassium (g/d);Sodium (g/d);Carbohydrate (g/d);Total Fiber (g/d);Fat (g/d);Protein (g/d);Added Sugars (g/d)
2;300;15;15;6;30;0.5;0.5;6;0.5;150;0.9;2;700;340;90;7;80;1.2;460;20;3;3;1;130;19;35;13;0
3;300;15;15;6;30;0.5;0.5;6;0.5;150;0.9;2;700;340;90;7;80;1.2;460;20;3;3;1;130;19;35;13;0
4;400;25;15;7;55;0.6;0.6;8;0.6;200;1.2;3;1000;440;90;10;130;1.5;500;30;5;3.8;1.2;130;25;30;19;0
5;400;25;15;7;55;0.6;0.6;8;0.6;200;1.2;3;1000;440;90;10;130;1.5;500;30;5;3.8;1.2;130;25;30;19;0
6;400;25;15;7;55;0.6;0.6;8;0.6;200;1.2;3;1000;440;90;10;130;1.5;500;30;5;3.8;1.2;130;25;30;19;0
7;400;25;15;7;55;0.6;0.6;8;0.6;200;1.2;3;1000;440;90;10;130;1.5;500;30;5;3.8;1.2;130;25;30;19;0
8;400;25;15;7;55;0.6;0.6;8;0.6;200;1.2;3;1000;440;90;10;130;1.5;500;30;5;3.8;1.2;130;25;30;19;0
9;600;45;15;11;60;0.9;0.9;12;1;300;1.8;4;1300;700;120;8;240;1.6;1250;40;8;4.5;1.5;130;26;30;34;0
10;600;45;15;11;60;0.9;0.9;12;1;300;1.8;4;1300;700;120;8;240;1.6;1250;40;8;4.5;1.5;130;26;30;34;0
11;600;45;15;11;60;0.9;0.9;12;1;300;1.8;4;1300;700;120;8;240;1.6;1250;40;8;4.5;1.5;130;26;30;34;0
12;600;45;15;11;60;0.9;0.9;12;1;300;1.8;4;1300;700;120;8;240;1.6;1250;40;8;4.5;1.5;130;26;30;34;0
13;600;45;15;11;60;0.9;0.9;12;1;300;1.8;4;1300;700;120;8;240;1.6;1250;40;8;4.5;1.5;130;26;30;34;0
14;700;65;15;15;75;1;1;14;1.2;400;2.4;5;1300;890;150;15;360;1.6;1250;55;9;4.7;1.5;130;26;30;46;0
15;700;65;15;15;75;1;1;14;1.2;400;2.4;5;1300;890;150;15;360;1.6;1250;55;9;4.7;1.5;130;26;30;46;0
16;700;65;15;15;75;1;1;14;1.2;400;2.4;5;1300;890;150;15;360;1.6;1250;55;9;4.7;1.5;130;26;30;46;0
17;700;65;15;15;75;1;1;14;1.2;400;2.4;5;1300;890;150;15;360;1.6;1250;55;9;4.7;1.5;130;26;30;46;0
18;700;65;15;15;75;1;1;14;1.2;400;2.4;5;1300;890;150;15;360;1.6;1250;55;9;4.7;1.5;130;26;30;46;0
19;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
20;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
21;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
22;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
23;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
24;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
25;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
26;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
27;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
28;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
29;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
30;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;310;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
31;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
32;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
33;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
34;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
35;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
36;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
37;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
38;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
39;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
40;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
41;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
42;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
43;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
44;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
45;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
46;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
47;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
48;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
49;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
50;700;75;15;15;120;1.1;1.1;14;1.3;400;2.4;5;1000;900;150;18;320;1.8;700;55;8;4.7;1.5;130;25;27.5;46;0
51;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
52;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
53;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
54;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
55;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
56;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
57;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
58;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
59;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
60;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
61;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
62;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
63;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
64;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
65;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
66;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
67;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
68;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
69;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
70;700;75;15;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.3;130;21;27.5;46;0
71;700;75;20;15;120;1.1;1.1;14;1.5;400;2.4;5;1200;900;150;8;320;1.8;700;55;8;4.7;1.2;130;21;27.5;46;0
