Age;Not Active;Somewhat Active;Very Active
2;1100;1200;1200
3;1100;1200;1200
4;1300;1500;1800
5;1300;1500;1800
6;1300;1500;1800
7;1300;1500;1800
8;1300;1500;1800
9;1800;2000;2300
10;1800;2000;2300
11;1800;2000;2300
12;1800;2000;2300
13;1800;2000;2300
14;2200;2600;3000
15;2200;2600;3000
16;2200;2600;3000
17;2200;2600;3000
18;2200;2600;3000
19;2500;2700;3000
20;2500;2700;3000
21;2500;2700;3000
22;2500;2700;3000
23;2500;2700;3000
24;2500;2700;3000
25;2500;2700;3000
26;2500;2700;3000
27;2500;2700;3000
28;2500;2700;3000
29;2500;2700;3000
30;2500;2700;3000
31;2300;2500;2900
32;2300;2500;2900
33;2300;2500;2900
34;2300;2500;2900
35;2300;2500;2900
36;2300;2500;2900
37;2300;2500;2900
38;2300;2500;2900
39;2300;2500;2900
40;2300;2500;2900
41;2300;2500;2900
42;2300;2500;2900
43;2300;2500;2900
44;2300;2500;2900
45;2300;2500;2900
46;2300;2500;2900
47;2300;2500;2900
48;2300;2500;2900
49;2300;2500;2900
50;2300;2500;2900
51;2100;2300;2600
